18
801 1713
238 554 757
12 224 937
613 74 189
95 451 602
328 502 593
455 335 573
219 30 492
216 493 583
484 165 839
406 543 469
73 738 485
440 194 221
438 33 737
613 481 338
441 519 306
24 479 886
76 651 443
653 720 57
155 648 389
360 710 6
536 4 940
150 800 89
666 83 447
611 609 529
723 552 747
360 380 657
594 305 89
307 557 686
87 1 151
798 151 390
22 640 560
154 257 609
415 13 518
787 247 271
795 253 687
512 387 160
234 14 451
235 721 559
273 677 432
291 424 337
396 203 572
478 127 56
652 530 79
149 174 241
799 213 431
276 621 406
518 331 668
398 74 79
144 582 655
424 219 836
561 378 57
559 101 958
612 521 947
328 407 481
20 673 826
592 8 912
345 532 571
55 714 945
448 86 211
167 354 479
458 325 591
239 352 554
165 159 664
766 674 683
437 362 990
581 619 853
425 321 781
406 568 979
564 708 902
423 31 738
156 322 124
442 125 904
19 393 583
257 457 206
287 191 661
613 314 902
378 440 4
171 135 538
716 292 6
132 675 50
680 232 933
710 341 871
661 146 122
399 801 639
646 354 362
223 388 124
526 624 11
106 592 633
120 565 775
239 757 676
255 243 359
156 81 95
117 767 673
382 208 169
524 796 4
495 102 503
428 682 886
452 404 251
646 1 877
282 709 849
567 177 764
534 479 928
49 414 1000
591 675 767
677 368 900
9 421 563
246 405 746
353 261 563
15 748 669
555 139 71
713 33 234
39 656 32
228 475 882
729 13 825
483 369 479
784 198 845
511 77 642
156 60 194
134 510 298
67 144 764
237 464 957
381 404 976
194 387 433
472 242 421
459 649 214
36 361 603
559 709 211
9 600 298
49 392 197
750 754 515
637 268 305
685 738 872
148 25 638
284 315 878
412 538 399
668 131 764
375 496 896
432 396 523
189 636 285
123 764 589
655 407 569
289 617 726
704 523 849
516 614 964
541 398 689
75 45 428
768 708 23
630 147 421
267 405 361
756 475 153
723 270 10
567 642 583
435 448 549
156 154 616
707 274 28
189 660 395
459 656 695
689 135 553
90 138 174
760 162 792
516 337 622
689 629 674
247 41 233
9 561 497
448 197 395
586 694 499
728 120 33
417 601 316
431 679 122
318 501 636
227 753 488
786 289 283
393 685 33
715 371 35
34 241 597
494 571 865
330 523 908
383 23 166
211 181 329
700 723 534
38 778 848
650 169 922
697 352 482
625 475 486
315 632 256
685 313 944
15 316 596
182 401 183
476 666 885
396 500 336
338 530 142
163 484 967
448 746 799
356 164 483
626 190 814
251 99 374
492 67 485
32 719 616
76 231 425
191 256 30
430 307 379
247 753 476
741 670 478
486 302 680
612 496 973
459 105 832
559 284 300
163 385 104
609 796 506
50 378 32
727 89 376
590 523 53
338 401 906
350 600 338
202 476 455
77 444 625
481 422 918
296 304 366
21 366 704
450 235 283
355 297 741
424 470 128
256 599 806
512 393 294
62 562 651
592 453 990
173 180 723
341 257 180
419 55 461
568 219 948
695 193 228
791 654 278
628 659 628
309 705 255
231 727 64
200 252 439
478 401 109
89 288 639
730 264 727
197 253 407
771 643 459
382 59 889
401 664 240
753 741 490
153 310 521
83 666 721
440 492 945
97 378 110
55 319 636
742 478 336
277 768 231
69 693 924
387 318 492
565 450 519
195 712 206
671 286 335
610 653 194
408 92 775
593 782 167
368 323 775
535 449 530
626 486 169
771 118 814
451 347 351
143 251 112
561 609 811
777 632 228
467 250 219
323 74 610
519 90 233
635 392 290
577 238 323
770 181 623
33 769 453
162 435 564
655 649 656
286 545 832
384 432 464
731 123 175
766 404 845
535 691 11
65 675 803
306 753 697
259 596 7
542 174 534
84 144 872
282 504 302
509 485 20
192 470 963
246 562 418
152 607 580
621 399 344
381 667 374
227 709 419
730 704 356
414 777 43
350 553 466
652 469 67
502 611 741
432 662 579
180 409 943
668 499 724
682 70 78
410 480 74
267 430 491
563 85 461
709 536 546
763 457 45
758 424 54
350 361 607
228 59 787
271 466 413
54 564 145
494 116 120
486 74 715
302 5 646
417 796 522
355 481 730
791 113 417
36 209 437
127 518 224
754 621 719
338 489 287
551 58 147
193 40 481
627 696 252
405 268 516
532 598 120
458 539 379
553 568 384
202 710 46
360 150 253
621 713 768
628 100 238
67 85 526
184 708 394
323 520 664
603 669 342
582 209 876
648 382 358
380 633 74
519 350 855
8 218 179
760 218 861
750 669 460
412 775 530
782 98 752
669 544 912
771 91 412
559 516 539
464 61 457
474 540 939
218 226 692
399 403 681
362 24 751
467 564 508
367 654 643
705 224 128
139 341 63
391 148 588
752 594 305
212 548 22
291 706 581
169 420 863
220 171 635
109 509 845
437 260 499
81 690 574
471 97 38
324 595 436
7 395 251
263 162 647
111 73 452
115 505 948
480 7 423
160 584 944
783 683 519
533 770 93
48 255 310
146 565 831
92 103 486
503 272 479
434 407 200
544 224 788
253 41 246
698 174 563
496 636 256
683 369 207
199 431 487
106 44 322
630 343 778
228 528 775
77 53 283
668 204 285
471 458 296
369 450 958
744 619 35
561 10 683
1 155 699
734 657 959
766 206 287
131 788 457
738 640 265
316 486 332
177 113 986
544 226 895
426 91 1
420 231 962
659 587 398
615 471 19
580 46 701
64 237 630
646 656 309
388 283 847
205 46 680
97 705 660
749 384 323
762 79 977
506 178 807
505 612 743
384 473 599
701 458 346
760 391 903
449 618 653
472 623 229
25 108 148
539 666 98
731 546 2
696 688 644
743 132 925
53 452 716
386 332 612
233 471 36
202 217 465
300 493 276
793 507 581
750 385 162
91 166 51
372 415 14
493 574 839
294 530 467
444 510 306
742 712 647
359 386 944
791 604 146
759 679 628
120 99 934
112 712 942
551 717 669
229 551 499
374 302 27
106 718 899
221 751 5
613 599 151
731 763 186
706 671 299
142 795 612
4 84 620
62 533 438
578 300 582
386 514 373
684 190 211
157 280 371
420 635 900
585 260 14
526 786 448
305 666 7
406 240 373
621 261 721
526 47 926
517 671 134
200 576 23
275 475 918
106 283 586
614 259 12
362 618 432
697 343 497
468 379 327
389 144 994
275 368 707
485 574 322
189 432 305
3 175 301
158 347 918
350 473 462
5 614 780
490 438 396
113 213 102
748 414 760
428 50 778
188 21 77
274 674 74
659 223 674
60 691 634
600 705 320
678 183 144
361 658 714
67 515 559
257 622 862
388 644 880
21 350 650
719 240 468
395 208 639
597 690 786
357 661 739
591 97 964
612 29 854
57 550 945
73 693 902
437 479 392
126 214 430
333 408 815
326 9 967
56 354 503
81 679 233
549 547 502
581 582 685
759 421 746
567 168 237
521 246 627
305 122 293
553 358 210
677 450 617
636 497 392
180 214 122
328 681 112
540 737 158
657 764 986
5 749 534
43 113 1
14 53 66
274 372 354
534 691 123
130 555 647
777 404 183
83 155 884
375 688 920
386 144 552
493 393 859
47 492 9
447 731 654
629 747 49
157 47 827
261 262 652
740 564 227
560 649 937
419 17 952
80 464 153
2 56 224
438 471 176
460 185 999
675 778 30
89 413 212
652 77 406
352 499 408
383 233 578
534 604 612
146 412 521
236 176 719
243 307 916
460 321 540
495 464 995
641 761 879
660 381 137
394 32 259
16 516 552
748 161 950
403 414 6
9 108 156
77 179 744
459 540 31
662 468 842
668 191 892
549 53 36
177 647 918
695 129 350
208 37 344
235 139 696
154 797 923
748 37 869
275 769 61
37 464 625
534 78 527
449 150 287
356 273 443
494 92 267
305 44 886
215 217 924
305 599 872
259 611 110
254 393 140
794 592 58
267 773 117
124 687 209
627 205 324
365 395 385
116 301 194
744 156 714
526 652 555
158 418 548
510 209 486
789 667 821
304 505 169
558 408 12
555 298 575
283 122 987
700 460 607
68 496 77
301 74 112
27 201 993
409 766 253
417 151 180
158 36 488
784 406 157
378 57 715
514 86 692
494 765 251
540 177 14
751 445 30
143 576 920
185 3 962
316 734 932
383 72 533
689 361 443
727 306 607
523 245 502
14 162 819
455 617 464
168 440 600
367 254 97
449 414 829
448 245 740
169 763 328
255 30 94
72 411 193
525 711 144
193 215 727
207 136 22
133 245 876
337 214 279
126 756 805
284 362 116
723 663 714
800 735 388
138 530 419
346 648 99
466 191 138
603 651 231
133 333 402
280 432 890
73 737 816
618 18 654
64 262 868
258 268 225
268 89 385
208 92 610
421 49 579
615 591 851
386 522 537
627 794 993
737 628 856
706 326 851
21 13 546
61 722 534
226 649 758
656 281 731
674 128 931
601 790 177
287 112 696
328 744 131
420 798 586
398 651 57
369 379 960
786 302 907
152 68 734
693 650 11
449 344 851
590 776 627
237 83 634
360 353 43
665 357 32
787 749 759
472 220 494
754 683 380
463 147 881
793 796 812
222 190 73
648 612 868
618 700 104
624 203 682
628 160 238
785 248 802
675 450 59
144 432 973
633 603 661
227 186 382
638 544 331
742 340 485
262 678 243
575 749 755
424 438 359
121 427 96
270 393 971
371 516 390
546 125 840
509 681 553
572 603 885
32 397 926
76 537 524
637 388 359
162 5 878
782 122 549
664 638 61
370 334 22
167 677 103
530 387 112
664 74 568
558 502 268
725 214 380
465 394 895
246 719 537
16 301 502
167 556 467
507 689 645
363 106 805
171 186 323
38 677 867
618 570 544
384 521 473
789 224 115
52 10 974
667 718 304
142 261 271
408 88 18
694 45 679
340 545 208
534 321 125
771 558 48
83 773 497
744 575 910
762 544 829
432 659 407
342 516 495
544 245 824
62 731 99
521 629 387
154 502 987
114 444 406
304 225 489
63 677 222
55 649 921
278 518 441
194 287 953
471 157 558
171 157 676
446 281 71
431 284 984
326 180 682
190 690 65
180 470 52
110 251 441
363 542 819
239 67 873
451 238 502
471 798 234
253 292 727
704 515 702
373 27 255
581 333 194
534 762 952
788 392 773
578 281 846
517 405 259
772 720 441
290 546 262
489 273 581
495 103 499
315 549 25
383 193 189
287 285 2
291 789 528
742 391 34
642 764 146
797 781 19
548 664 939
124 284 229
522 398 356
315 618 928
760 290 827
411 178 1000
70 521 101
540 360 45
117 246 456
724 758 350
60 45 486
784 236 531
92 497 510
168 735 17
708 681 793
427 36 50
352 229 916
535 116 485
758 486 736
374 626 519
201 701 787
477 520 436
254 336 797
241 663 738
181 589 463
60 514 984
83 72 513
312 490 789
431 225 656
499 439 52
49 599 19
292 319 524
512 550 687
315 269 694
116 488 474
503 271 5
291 368 987
287 22 770
771 394 144
800 375 166
208 501 342
459 180 573
587 170 205
556 499 824
528 282 715
714 538 638
198 388 902
325 102 733
244 422 858
687 401 381
215 247 499
194 527 340
692 741 519
662 602 606
779 735 639
715 714 402
109 326 606
759 364 589
86 191 644
30 327 292
591 163 603
391 661 562
404 422 165
400 326 262
265 484 810
334 77 819
322 211 705
241 300 724
17 399 485
621 114 605
684 586 248
750 320 133
285 720 127
181 550 568
709 738 31
646 116 617
246 333 660
364 125 51
331 731 156
68 139 842
23 47 454
353 747 890
66 602 657
41 463 483
57 781 331
131 302 387
639 113 36
654 594 691
676 630 173
308 597 798
75 707 945
106 155 257
454 685 461
521 90 881
202 416 46
338 55 570
459 635 86
216 560 716
620 303 11
409 31 139
427 416 393
321 733 241
592 157 248
389 797 835
336 419 821
356 371 65
15 496 138
268 624 775
110 463 979
728 342 258
288 291 815
523 568 669
474 45 553
404 609 894
598 599 888
478 798 642
556 102 910
259 105 484
267 594 25
788 676 875
397 15 698
797 215 659
738 660 814
195 186 517
752 252 680
337 486 845
562 200 110
43 97 510
102 424 325
619 132 780
410 711 772
437 29 597
692 333 729
355 381 739
323 641 848
438 370 954
536 23 417
752 486 545
780 669 371
154 467 21
309 142 149
685 474 528
492 197 319
626 781 18
498 617 464
678 754 666
127 458 650
535 27 268
573 474 897
528 533 797
8 115 573
405 235 418
449 108 913
523 362 823
626 385 575
114 102 60
227 206 196
70 9 465
129 591 217
226 318 633
436 123 790
341 489 269
281 668 539
494 96 503
395 391 880
222 773 442
362 491 601
439 594 998
80 336 755
726 5 108
195 309 292
700 447 593
480 406 587
334 467 368
7 280 760
295 3 480
619 507 117
356 755 45
385 205 180
600 493 915
728 497 892
119 560 779
707 749 922
442 470 209
713 147 808
102 143 42
481 242 349
21 472 261
639 258 517
634 685 978
244 230 524
253 776 133
120 4 757
32 596 393
670 727 663
159 717 849
194 383 868
424 212 552
462 46 236
182 429 235
30 114 708
519 582 58
147 181 747
567 64 405
395 413 694
708 247 270
31 415 650
430 545 280
689 333 689
213 666 942
621 364 251
511 440 223
584 234 501
644 87 51
800 525 443
144 466 475
9 589 33
778 226 210
778 141 949
736 318 776
174 712 14
524 530 407
214 752 546
226 370 76
694 610 667
263 669 20
547 108 329
530 242 904
255 379 699
514 444 419
568 33 96
4 205 704
122 317 330
144 393 215
155 435 615
181 72 170
249 237 877
763 15 416
80 390 737
694 603 127
40 763 780
679 241 146
576 484 369
357 30 639
611 513 577
228 79 501
755 568 446
385 527 826
537 161 977
276 428 480
576 693 871
233 328 685
302 511 805
285 276 938
186 277 392
182 154 94
208 229 99
141 412 400
694 291 340
276 785 734
302 329 584
302 714 740
380 593 358
66 188 522
710 553 224
155 540 583
665 547 226
181 227 106
565 204 198
708 564 672
293 189 769
630 405 485
307 184 394
408 685 69
119 200 56
244 488 824
22 622 905
581 686 160
794 717 915
33 181 186
358 548 693
560 521 441
336 72 472
489 409 721
374 38 841
3 120 280
194 492 980
497 129 149
443 509 421
66 459 384
420 741 98
313 451 250
636 346 692
768 245 164
20 224 613
392 1 928
759 21 596
453 676 608
609 629 430
413 534 601
269 286 656
748 733 854
671 121 143
541 687 241
578 63 972
532 435 997
664 510 517
104 204 782
754 402 89
173 91 134
38 584 781
380 266 785
764 475 762
330 542 664
778 619 146
781 188 881
170 639 988
355 729 782
180 114 866
631 677 482
737 562 161
129 264 690
212 644 983
260 160 215
615 244 628
288 487 495
190 434 226
244 792 663
216 516 689
166 488 585
692 94 342
507 152 45
76 26 17
455 746 681
230 305 566
39 79 619
80 234 802
548 92 698
196 762 468
756 363 656
667 401 578
576 653 39
626 624 661
84 162 984
383 222 976
790 217 126
534 313 569
101 86 548
84 427 885
529 715 243
575 187 107
629 411 892
614 10 597
318 3 881
575 470 54
123 494 447
190 755 725
575 407 514
228 473 627
756 380 19
416 239 707
93 95 732
604 88 647
674 407 858
12 144 821
262 555 517
10 174 776
770 213 264
300 326 663
454 425 761
730 349 150
37 111 872
641 430 838
517 663 410
467 536 737
323 514 243
119 577 278
339 164 67
417 71 53
93 477 441
404 782 292
484 97 70
327 463 788
790 765 870
250 586 583
756 636 557
10 84 972
398 67 834
206 293 867
721 485 169
589 171 788
482 5 585
543 99 836
417 385 959
779 398 493
127 314 825
741 422 899
787 648 233
27 728 992
769 422 929
178 225 940
106 66 273
123 159 731
189 136 931
627 219 394
748 298 333
662 698 233
144 785 950
243 148 760
441 509 857
794 483 630
685 773 880
322 308 950
238 372 745
144 43 721
339 152 677
151 353 575
12 420 654
516 211 59
571 666 217
552 554 448
448 658 873
353 464 542
650 212 539
391 786 416
712 135 253
476 557 538
225 739 752
265 758 138
560 580 122
793 278 105
165 787 33
325 478 145
734 56 567
64 743 575
340 100 86
751 610 127
312 65 52
360 433 392
509 52 225
285 427 660
586 110 248
746 14 167
284 366 877
519 289 952
324 134 355
782 125 119
303 621 891
170 621 443
393 59 364
53 366 986
121 517 940
674 448 730
227 461 990
45 782 995
787 272 858
553 302 100
278 103 671
329 713 870
209 616 516
19 589 664
179 539 26
39 216 925
487 130 893
780 528 945
794 560 484
178 205 402
231 395 912
700 463 506
164 209 647
373 588 528
4 797 293
7 378 66
522 583 485
670 454 47
590 330 648
585 792 436
229 127 114
224 386 598
133 163 296
734 68 233
355 5 651
796 724 824
540 439 572
443 151 191
704 540 355
741 13 698
549 202 60
640 130 903
419 657 839
189 60 381
539 499 617
449 755 550
128 369 487
183 55 413
463 249 96
66 459 56
155 747 811
162 57 247
570 13 947
83 747 517
590 103 510
37 18 767
917 1820
421 18 787
721 815 506
685 686 589
494 67 273
231 154 781
358 668 968
911 572 508
97 136 665
237 240 425
197 915 477
844 246 888
803 717 659
782 804 115
462 576 680
461 656 576
723 627 748
408 93 137
247 38 721
502 533 239
393 912 842
173 842 159
279 786 179
781 662 173
248 328 46
422 90 871
907 870 60
271 810 580
219 214 811
186 602 246
402 148 606
92 204 58
225 24 778
902 344 42
469 707 243
364 631 820
533 172 624
911 491 832
275 563 771
852 285 751
584 495 6
89 824 117
760 234 479
707 423 568
195 345 444
510 858 206
672 127 470
885 552 793
251 62 709
616 393 402
511 173 600
38 602 729
460 356 821
164 578 492
782 440 204
246 567 333
285 729 413
580 80 124
232 701 571
450 876 601
552 557 506
133 54 157
205 110 622
743 46 958
672 556 690
505 456 354
640 783 816
897 481 850
504 890 14
458 754 141
652 179 182
190 605 520
168 81 130
797 324 6
891 735 342
749 18 375
433 559 833
91 868 261
452 732 880
450 588 509
748 866 417
780 312 258
426 649 821
85 20 528
874 816 604
508 865 203
606 46 961
412 171 686
712 830 905
560 838 911
228 519 14
672 832 7
903 392 725
63 741 136
630 636 907
554 618 682
440 511 961
388 457 74
821 592 795
437 213 697
473 102 738
523 751 465
153 145 288
291 825 265
836 791 977
917 367 429
575 200 449
215 163 955
772 489 833
644 427 889
67 287 344
1 44 984
655 281 772
785 693 928
879 539 29
54 187 926
626 399 252
196 460 525
692 199 170
677 838 184
146 460 322
341 604 465
229 536 631
704 631 548
220 911 970
598 290 878
222 333 222
762 718 482
711 631 218
796 383 882
810 760 275
319 182 615
834 42 20
240 900 213
389 298 249
338 588 400
207 681 886
860 111 303
361 588 427
328 754 962
533 620 144
322 797 809
840 129 377
312 742 274
755 648 322
161 854 808
283 818 275
225 523 935
608 546 495
409 312 562
272 351 305
427 621 572
336 683 62
148 238 979
908 782 682
231 331 2
176 184 995
387 16 390
707 634 862
707 538 417
616 446 285
354 388 362
873 550 523
675 637 235
154 387 810
339 421 518
476 224 458
757 724 52
551 396 385
20 879 813
456 219 347
336 191 669
510 311 182
481 116 62
623 161 756
889 199 396
200 587 462
644 359 263
317 305 239
159 712 725
195 713 256
658 820 993
155 152 797
257 590 639
206 354 552
322 734 338
411 296 212
784 262 439
906 597 37
67 436 282
606 543 80
346 725 180
697 179 891
768 623 833
66 506 518
687 393 839
17 217 794
39 877 527
757 552 608
807 788 112
801 562 215
788 740 372
888 505 159
277 879 921
97 355 978
486 607 583
529 361 655
596 166 40
911 690 566
510 878 167
71 789 150
617 530 672
780 760 287
819 435 290
459 881 921
431 524 349
725 541 378
439 20 350
586 574 465
479 474 252
716 386 925
411 887 682
157 34 806
498 457 396
190 45 754
45 128 381
715 132 707
694 490 402
799 84 585
787 758 223
459 619 969
41 912 184
649 521 986
860 871 359
737 674 268
113 104 233
103 190 747
719 891 325
888 690 545
444 575 812
457 827 587
382 663 775
346 837 345
857 196 268
330 419 597
117 149 876
866 142 253
524 712 618
178 285 380
43 583 104
910 661 341
704 903 308
512 616 681
442 892 586
419 361 824
312 845 718
478 596 828
498 403 893
901 464 477
684 580 549
310 840 40
469 680 14
324 431 102
20 328 266
18 218 475
21 115 302
229 752 333
465 322 134
382 416 512
841 256 63
753 777 426
454 534 244
763 109 109
24 190 600
188 881 800
900 288 939
98 259 550
884 605 743
124 208 502
83 847 598
400 692 750
132 693 710
851 250 747
400 833 673
38 76 642
610 347 673
478 133 832
145 716 660
277 658 521
152 892 633
422 406 332
233 841 232
525 673 345
482 287 875
152 144 920
423 431 520
503 46 341
886 376 989
862 371 347
617 482 642
480 623 776
854 264 708
473 30 644
381 493 626
212 513 207
414 487 598
546 889 186
280 146 718
108 567 689
736 37 187
669 160 960
124 836 731
270 852 511
273 504 898
826 223 712
688 841 663
85 438 78
800 660 42
323 178 751
774 600 794
276 828 945
6 819 906
903 828 953
701 554 39
105 18 666
528 371 379
679 189 973
554 210 717
685 863 533
845 875 117
188 588 16
54 901 808
498 135 705
645 241 418
874 467 392
625 196 755
670 706 248
548 684 305
741 622 186
691 51 456
319 498 426
494 855 778
309 800 194
508 473 963
511 434 40
713 508 34
538 198 724
6 628 820
372 340 880
658 506 974
303 316 676
590 415 353
152 859 631
261 180 919
215 360 388
664 123 806
233 775 430
92 852 124
789 277 594
361 433 791
140 788 650
624 637 511
364 140 591
726 690 982
450 659 83
737 404 896
639 715 738
182 716 786
703 753 162
512 310 457
537 884 134
23 401 298
54 760 953
526 157 840
648 618 372
541 714 511
480 606 999
793 818 374
126 471 528
166 430 87
279 63 85
651 34 712
718 393 971
590 169 658
216 117 210
827 11 540
577 584 320
653 839 867
104 464 442
238 705 336
796 140 821
147 580 188
613 72 67
162 164 706
258 6 901
64 699 811
33 442 727
313 20 247
709 410 249
837 603 249
906 398 288
682 762 627
154 753 729
539 684 358
454 118 945
856 881 184
179 555 306
723 538 328
643 43 48
514 410 292
714 645 490
592 469 877
27 437 767
143 279 941
210 498 664
695 831 69
468 747 169
770 872 299
200 175 385
587 659 452
836 771 804
281 293 101
303 59 897
343 99 244
349 419 531
224 477 385
806 43 244
608 47 196
261 869 669
383 369 857
557 547 743
340 279 460
200 882 130
528 903 516
181 305 708
234 553 630
405 819 535
310 138 561
236 125 376
107 81 875
387 425 230
427 910 254
420 44 634
297 687 745
598 255 893
285 579 444
465 85 296
707 884 5
567 117 775
533 32 120
866 172 909
397 384 1
272 394 643
240 829 299
366 715 700
15 755 599
833 476 612
552 93 2
304 776 634
536 130 578
749 351 580
888 371 650
191 68 619
244 460 103
630 464 343
359 626 382
865 873 278
435 915 61
175 834 468
736 436 153
447 154 772
28 536 82
130 847 280
581 710 150
739 134 706
361 753 618
231 162 217
280 340 251
695 591 599
502 288 45
103 619 832
488 696 341
702 230 371
648 43 99
152 367 240
584 52 345
837 523 403
486 704 454
829 912 12
585 877 206
61 491 706
122 810 627
59 486 371
337 238 768
144 799 31
168 651 399
64 820 433
878 72 858
789 810 838
397 618 146
301 133 222
487 636 707
192 311 990
250 532 966
872 431 2
565 913 115
391 45 891
606 683 161
881 505 862
290 509 874
710 845 242
629 440 627
472 766 727
509 623 871
782 585 684
736 502 461
722 624 82
449 391 444
497 440 382
284 387 623
893 697 128
70 681 360
340 339 170
124 232 496
887 787 169
153 484 540
751 94 582
132 485 858
642 93 294
307 809 10
230 216 931
411 527 582
396 345 18
645 111 919
746 778 917
63 293 51
56 603 123
206 521 178
357 63 498
663 196 875
619 802 43
433 173 327
647 431 851
818 462 499
108 290 772
201 37 896
758 512 333
303 783 923
27 77 234
890 571 420
632 749 207
545 358 821
167 769 279
735 156 780
673 179 588
527 715 735
610 308 887
348 803 837
272 864 105
519 338 900
768 853 63
40 620 857
128 159 625
477 236 823
799 669 413
723 3 783
469 854 821
610 371 303
328 539 705
249 147 35
81 188 380
447 345 131
905 10 974
655 859 906
64 292 301
804 462 324
369 37 384
663 897 853
900 824 840
843 202 511
353 715 900
95 558 584
588 560 863
114 309 737
29 828 400
757 458 661
553 682 936
851 199 891
812 876 108
444 433 141
619 636 18
758 156 935
532 357 320
727 97 183
435 85 248
165 686 489
292 378 998
79 85 596
344 535 767
610 617 230
352 845 920
609 622 613
619 299 572
676 230 545
322 837 411
190 738 848
608 255 982
42 784 879
134 204 83
306 61 919
56 450 834
345 828 516
1 538 591
413 290 862
138 116 47
816 607 283
314 540 946
